ID, Text, Created_at, Link
737800447143071745,When Donald Trump hits back, he hits back hard https://t.co/2yP75A5R19 https://t.co/RqzELsiJMF,2016-06-01 00:18:28 +0000, http://www.cnn.com/2016/05/31/politics/donald-trump-political-attacks-hit-back-harder/index.html?sr=twCNN060116donald-trump-political-attacks-hit-back-harder1218AMVODtopPhoto&linkId=25052673
737797435796377600,Smoggy smell of success? Nigeria home to world's most polluted city, according to new report https://t.co/y1cZgmQsC1 https://t.co/2buin4O6bD,2016-06-01 00:06:30 +0000, http://www.cnn.com/2016/05/31/africa/nigeria-cities-pollution/index.html?sr=twCNN060116nigeria-cities-pollution1206AMStoryGalPhoto&linkId=25052439
737794929443909632,State Department warns Americans about risk of potential terrorist attacks throughout Europe https://t.co/1bCjWxl1dS https://t.co/Co31vxXDYq,2016-05-31 23:56:33 +0000, http://www.cnn.com/2016/05/31/politics/state-department-europe-travel-alert/index.html?sr=twCNN053116state-department-europe-travel-alert/1156PMVODtopPhoto&linkId=25051911
737791960027701248,@SydneyStavinoha may we have permission to feature your video? Verify here: https://t.co/tw4AA7wScj,2016-05-31 23:44:45 +0000, 
737790980582211584,Authorities in Florida recovered a body from a canal after finding alligators feeding on it https://t.co/SJzvSzzVRr https://t.co/jck8Pp1pPJ,2016-05-31 23:40:51 +0000, http://www.cnn.com/2016/05/31/us/florida-alligators-eating-body/index.html?sr=twCNN053116florida-alligators-eating-body1140PMStoryPhoto&linkId=25051648
737787495790809088,After a sluggish winter, U.S. consumer spending is seeing its best gain since August 2009 https://t.co/4XN7P4eoex https://t.co/J7EI1jVJ1o,2016-05-31 23:27:01 +0000, http://money.cnn.com/2016/05/31/news/economy/us-economy-personal-spending-best-since-2009/index.html?sr=twCNN053116us-economy-personal-spending-best-since-20091127PMStoryPhoto&linkId=25051313
737785230136856576,Could ending slavery help save the Earth at the same time? https://t.co/W0GiBLeZe3 via @CNNOpinion https://t.co/2KSLhjHsha,2016-05-31 23:18:00 +0000, http://www.cnn.com/2016/05/31/opinions/kevin-bales-slavery-destroy-environment/index.html?sr=twCNN053116kevin-bales-slavery-destroy-environment1118PMStoryPhoto&linkId=25051120
737783995400884224,A World War II Marine who was missing for more than 70 years was finally buried in Arlington https://t.co/YJc462UiK5 https://t.co/jG938ioWxy,2016-05-31 23:13:06 +0000, http://www.cnn.com/2016/05/31/politics/missing-wwii-marine-buried-arlington-after-70-years/index.html?sr=twCNN053116missing-wwii-marine-buried-arlington-after-70-years1113PMVODtopPhoto&linkId=25051079
737781313432870912,Houston police: Gunman was military veteran who appeared to be having "mental health crisis" https://t.co/9G9VVKNOgh https://t.co/WuRTzdqMi3,2016-05-31 23:02:27 +0000, http://www.cnn.com/2016/05/31/us/houston-shooting/index.html?sr=twCNN053116houston-shooting1102PMVODtopPhoto&linkId=25050838
737778192149315584,E. coli outbreak prompts General Mills to recall more than 10 million pounds of flour https://t.co/Ry2G50YRI2 https://t.co/r2EdHz5GIV,2016-05-31 22:50:02 +0000, http://www.cnn.com/2016/05/31/health/general-mills-flour-recall/index.html?sr=twCNN053116general-mills-flour-recall1050PMVODtopPhoto&linkId=25050570
